Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E1C38 time date stamp Thu Feb 21 11:34:16 2019
        0.00 version
           1 ordinal base
        442  1AB 000215B8 NtQuerySystemEnvironmentValueEx
        443  1AC 0001FDE0 NtQuerySystemInformation
        444  1AD 000215D0 NtQuerySystemInformationEx
        445  1AE 0002015C NtQuerySystemTime
        446  1AF 0001FE10 NtQueryTimer
        447  1B0 000215E8 NtQueryTimerResolution
        448  1B1 0001FAD8 NtQueryValueKey
        449  1B2 0001FC08 NtQueryVirtualMemory
        450  1B3 0001FFBC NtQueryVolumeInformationFile
        451  1B4 0001FF54 NtQueueApcThread
        452  1B5 00021604 NtQueueApcThreadEx
        453  1B6 0002161C NtRaiseException
        454  1B7 00021634 NtRaiseHardError
        455  1B8 0001F920 NtReadFile
        456  1B9 0001FD14 NtReadFileScatter
        457  1BA 0002164C NtReadOnlyEnlistment
        458  1BB 000200CC NtReadRequestData
        459  1BC 0001FEC0 NtReadVirtualMemory
        460  1BD 00021664 NtRecoverEnlistment
        461  1BE 0002167C NtRecoverResourceManager
        462  1BF 00021694 NtRecoverTransactionManager
        463  1C0 000216AC NtRegisterProtocolAddressInformation
        464  1C1 000216C4 NtRegisterThreadTerminatePort
        465  1C2 000216E0 NtReleaseKeyedEvent
        466  1C3 0001FBBC NtReleaseMutant
        467  1C4 0001F990 NtReleaseSemaphore
        468  1C5 000216FC NtReleaseWorkerFactoryWorker
        469  1C6 0001F974 NtRemoveIoCompletion
        470  1C7 00021714 NtRemoveIoCompletionEx
        471  1C8 0002172C NtRemoveProcessDebug
        472  1C9 00021748 NtRenameKey
        473  1CA 00021760 NtRenameTransactionManager
        474  1CB 00021778 NtReplaceKey
        475  1CC 00021790 NtReplacePartitionUnit
        476  1CD 0001F9C4 NtReplyPort
        477  1CE 0001F9AC NtReplyWaitReceivePort
        478  1CF 0001FCC8 NtReplyWaitReceivePortEx
        479  1D0 000217A8 NtReplyWaitReplyPort
        480  1D1 000217C0 NtRequestPort
        481  1D2 0001FBF0 NtRequestWaitReplyPort
        482  1D3 000217D8 NtResetEvent
        483  1D4 000217F4 NtResetWriteWatch
        484  1D5 00021810 NtRestoreKey
        485  1D6 00021828 NtResumeProcess
        486  1D7 00020098 NtResumeThread
        487  1D8 00021844 NtRollbackComplete
        488  1D9 0002185C NtRollbackEnlistment
